exp_id,dataset,chunk_size,lr,batch_size,steps,mean_action_error,final_loss,success_rate,avg_steps,failure_mode,video_path,notes
E0,datasets/demo_v5_30demos_random,50,1e-4,64,3000,,,,,待观察,,
E1,datasets/demo_v5_30demos_random,25,1e-4,64,3000,,,,,待观察,,
E2,datasets/demo_v5_30demos_random,50,1e-4,64,3000,,,,,待观察,,
E3,datasets/demo_v5_30demos_random,100,1e-4,64,3000,,,,,待观察,,
E4,datasets/demo_v5_30demos_random,50,5e-5,64,3000,,,,,待观察,,
E5,datasets/demo_v5_30demos_random,50,1e-4,64,3000,,,,,待观察,,
E6,datasets/demo_v5_30demos_random,50,2e-4,64,3000,,,,,待观察,,
E7,datasets/demo_v1_3demos_fixed,50,1e-4,64,3000,,,,,待观察,,
E8,datasets/demo_v2_50demos_fixed,50,1e-4,64,3000,,,,,待观察,,
E9,datasets/demo_v5_30demos_random,50,1e-4,64,3000,,,,,待观察,,
E10,datasets/demo_v5_30demos_random,50,1e-4,64,0,,,,,待观察,,
E11,datasets/demo_v5_30demos_random,50,1e-4,64,0,,,,,待观察,,
