seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,292,True,,0.02762238994597608,1.015599250793457,,
2,213,True,,0.04093195546312996,1.0168555974960327,,
3,240,True,,0.03214318674787388,1.014081358909607,,
4,386,True,,0.02424075325872362,1.0188398361206055,,
5,400,False,夹不准,0.03442762891406294,1.0254956483840942,,
6,400,False,夹不准,0.016910990523387397,0.8022763729095459,,
7,424,True,,0.021020700021049152,1.0173702239990234,,
8,500,False,,0.00975650374545251,0.5834113359451294,,
9,272,True,,0.02784031277116065,1.0157361030578613,,
10,280,True,,0.026762702007649474,1.0127012729644775,,
11,295,True,,0.028015258633606866,1.0021127462387085,,
12,312,True,,0.02772283440020079,1.0174041986465454,,
13,400,False,未夹住,0.017563331569078144,0.920901894569397,,
14,244,True,,0.030617509736706322,1.0068492889404297,,
15,359,True,,0.027457514893300648,1.0216890573501587,,
16,400,False,未夹住,0.027150635947012353,1.0768173933029175,,
17,85,True,,0.004484276939322063,0.05165707319974899,,
18,329,True,,0.02463607801358349,1.0170516967773438,,
19,210,True,,0.03452879733363674,1.017852783203125,,
20,341,True,,0.024498528804071933,1.0113760232925415,,
