seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,272,True,,0.027335948084620244,1.019702672958374,0.06958704952810413,0.42558494210243225
2,252,True,,0.029175714691228927,1.0211877822875977,0.10037891033190892,0.4884270131587982
3,257,True,,0.029245154913724036,1.0163936614990234,0.05744509756186744,0.4587291479110718
4,310,True,,0.025754634638860956,1.0168060064315796,0.0708089342316715,0.4620737135410309
5,255,True,,0.03227930795172171,1.0195033550262451,0.06078196427689528,0.4917471706867218
6,400,False,,0.01816927600578454,0.23587368428707123,0.26249435022449996,0.5228659510612488
7,400,False,,0.01741968996390726,0.3872514069080353,0.1391840582354027,0.49660617113113403
8,278,True,,0.028613504234387032,1.0146170854568481,0.0809962597914336,0.5000885725021362
9,274,True,,0.028494113124693802,1.015921950340271,0.08905610735715801,0.4898435175418854
10,400,False,,0.04508332361541292,0.3155122697353363,0.27464938686605084,0.45670294761657715
11,228,True,,0.031738906812091,1.019141435623169,0.05557237921225211,0.3998253345489502
12,400,False,,0.025299390021975347,0.2615937888622284,0.20235329738731747,0.5225173830986023
13,400,False,,0.027401782725447493,0.25189298391342163,0.15733520682424978,0.4759421944618225
14,400,False,,0.021327352864573823,0.2136857658624649,0.2316735922405613,0.49428072571754456
15,398,True,,0.021502335181497027,1.015520691871643,0.05654705569068303,0.48110026121139526
16,400,False,,0.03272417028334498,0.26090842485427856,0.21196567417731635,0.506040096282959
17,85,True,,0.007750102281404127,0.1007043719291687,0.0909721492678814,0.17273660004138947
18,333,True,,0.02341895080111915,1.0041882991790771,0.09311373915007136,0.4990224540233612
19,4,True,,0.019470894398788612,0.029304539784789085,0.02185639242331187,0.023693209514021873
20,298,True,,0.03072036155997321,1.0146589279174805,0.11981675495402981,0.5020595788955688
