seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,292,True,,0.02762238994597608,1.015599250793457,,
2,213,True,,0.04093195546312996,1.0168555974960327,,
3,240,True,,0.03214318674787388,1.014081358909607,,
4,386,True,,0.024237919015531708,1.018766164779663,,
5,400,False,,0.03442762891406294,1.0254956483840942,,
6,400,False,,0.016910990523387397,0.8022763729095459,,
7,400,False,,0.011914075232334995,0.4996849000453949,,
8,400,False,,0.011002058370877992,0.5834113359451294,,
9,272,True,,0.02784031277116065,1.0157361030578613,,
10,280,True,,0.026762702007649474,1.0127012729644775,,
11,209,True,,0.03748502673568929,1.0165839195251465,,
12,312,True,,0.027724840894260614,1.0174864530563354,,
13,400,False,,0.017563331569078144,0.920901894569397,,
14,212,True,,0.034292707963177925,1.0205713510513306,,
15,359,True,,0.027457514893300648,1.0216890573501587,,
16,400,False,,0.027176207391151872,1.0787501335144043,,
17,84,True,,0.004517753133746649,0.05165768414735794,,
18,329,True,,0.02463607801358349,1.0170516967773438,,
19,210,True,,0.03452879733363674,1.017852783203125,,
20,341,True,,0.024498528804071933,1.0113760232925415,,
